alpha,alpha3,batch_size,critic1_error,critic2_error,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.66102225,,,11.211446,11.641349,0.010463591144005996,0.7506999,1000.0,34.572228077513344,-1313.0941506029055,1.0,9.1334e-05,0.00027400199999999997,0.00027400199999999997,8.027268,55.04194,,,26000,275.0
0.6296737,,,10.8480015,11.015364,0.010463591144005996,0.75719905,1000.0,24.050563655751116,-1208.3988397380647,1.0,9.100066666666667e-05,0.00027300199999999995,0.00027300199999999995,8.059229,57.53073,,,27000,276.2
0.6004931,,,10.950921,10.894946,0.010463591144005996,0.73041904,1000.0,24.188042049558963,-1133.899965613478,1.0,9.066733333333334e-05,0.000272002,0.000272002,8.472381,60.36557,,,28000,304.6
0.5733401,,,11.144659,10.889642,1.3063732507602324,0.68728995,1000.0,118.24283273522367,-1111.7288759344278,1.0,9.0334e-05,0.000271002,0.000271002,7.423088,62.99299,,,29000,328.9
0.5479269,,,10.873567,10.452214,1.3063732507602324,0.6319133,1000.0,116.82609095565483,-1083.9887501285034,1.0,9.000066666666666e-05,0.000270002,0.000270002,7.426896,65.384705,,,30000,323.9
0.5240157,,,10.754858,10.278279,1.3063732507602324,0.5729707,1000.0,135.27450416380537,-1051.204821518069,1.0,8.966733333333334e-05,0.00026900199999999996,0.00026900199999999996,7.4157133,67.466835,,,31000,338.2
0.5014242,,,11.521498,11.132324,1.4338887347682303,0.51062834,1000.0,200.22164381332286,-1046.9191318672913,1.0,8.933400000000001e-05,0.000268002,0.000268002,7.152935,69.54531,,,32000,354.1
0.4799866,,,11.078086,10.695201,1.4338887347682303,0.45220438,1000.0,199.50497483659822,-1027.212557722348,1.0,8.900066666666666e-05,0.00026700199999999996,0.00026700199999999996,6.590455,71.56639,,,33000,360.2
0.45957342,,,11.494489,11.000675,1.4298461233796016,0.40202388,1000.0,195.49981641780101,-987.7662953664483,1.0,8.866733333333333e-05,0.000266002,0.000266002,7.087153,73.52315,,,34000,348.3
0.44010267,,,12.115936,11.67809,1.4298461233796016,0.35102773,1000.0,194.10737518017123,-958.6475192335195,1.0,8.833400000000001e-05,0.00026500199999999997,0.00026500199999999997,7.0605445,75.332,,,35000,347.0
0.421553,,,11.884395,11.641147,1.4291772826538085,0.29338133,1000.0,194.30365566589418,-950.1594958974113,1.0,8.800066666666668e-05,0.000264002,0.000264002,6.7851896,77.13586,,,36000,348.3
0.40390882,,,11.876108,11.587465,1.4291772826538085,0.23176637,1000.0,191.37922557012124,-906.8844824482852,1.0,8.766733333333333e-05,0.000263002,0.000263002,7.131124,78.868324,,,37000,350.6
0.3871257,,,12.48288,12.20504,1.4291772826538085,0.16556786,1000.0,190.876572415883,-881.7238394710843,1.0,8.7334e-05,0.000262002,0.000262002,6.8665795,80.24241,,,38000,349.2
0.37117758,,,11.898687,11.746016,0.12751548400799792,0.08819814,1000.0,96.35958814705059,-814.0252074061824,1.0,8.700066666666667e-05,0.000261002,0.000261002,7.0814104,81.63571,,,39000,346.2
0.35601783,,,12.966112,12.813593,0.12751548400799792,0.017591348,1000.0,96.4399422380291,-777.2396025153191,1.0,8.666733333333334e-05,0.00026000199999999995,0.00026000199999999995,7.2456827,82.76433,,,40000,354.6
0.34160092,,,12.86528,12.660505,0.12751548400799792,-0.059331905,1000.0,76.6951189012387,-734.2664631198904,1.0,8.6334e-05,0.000259002,0.000259002,7.087409,83.82852,,,41000,353.0
0.32787862,,,11.902304,11.663887,0.0,-0.12864007,1000.0,8.21619562431943,-664.4509963688855,1.0,8.600066666666667e-05,0.00025800199999999996,0.00025800199999999996,7.4364433,84.66057,,,42000,333.2
0.31480783,,,12.134837,11.965196,0.0017380499095453201,-0.19883862,1000.0,6.7037656183807455,-626.9359190443671,1.0,8.566733333333334e-05,0.000257002,0.000257002,7.4803863,85.265465,,,43000,332.2
0.30234987,,,11.717474,11.709948,0.0017380499095453201,-0.2677883,1000.0,6.181918921073027,-608.3309128611484,1.0,8.5334e-05,0.00025600199999999997,0.00025600199999999997,6.731246,85.76947,,,44000,334.4
0.29045856,,,11.136709,11.181025,0.0017380499095453201,-0.3292303,1000.0,5.8811668432275805,-591.2480803702305,1.0,8.500066666666667e-05,0.000255002,0.000255002,6.9957595,86.275314,,,45000,332.2
0.27907124,,,10.856357,10.905153,0.0017380499095453201,-0.3866,1000.0,5.090523381242091,-574.406338206816,1.0,8.466733333333334e-05,0.00025400199999999997,0.00025400199999999997,7.164869,86.585495,,,46000,331.3
0.2681623,,,11.116053,11.248441,0.0017380499095453201,-0.44739437,1000.0,5.027690704652883,-552.0772732092773,1.0,8.4334e-05,0.00025300199999999995,0.00025300199999999995,6.9354196,86.812126,,,47000,329.2
0.2577099,,,10.7712145,10.8955965,0.004880518965155514,-0.5042611,1000.0,4.566396162338694,-536.8598332361029,1.0,8.400066666666668e-05,0.000252002,0.000252002,7.158389,86.950485,,,48000,322.0
0.24766305,,,11.702869,11.813071,0.004880518965155514,-0.55346763,1000.0,4.197106784077018,-531.1039139864217,1.0,8.366733333333334e-05,0.000251002,0.000251002,6.9106493,87.00057,,,49000,316.2
0.23799999,,,10.888569,10.92519,0.004880518965155514,-0.591553,1000.0,3.7650934558921696,-522.3774096644802,1.0,8.3334e-05,0.000250002,0.000250002,6.4010825,87.11279,,,50000,313.5
0.22873993,,,10.574138,10.684908,0.00499458758911206,-0.63330585,1000.0,3.2715658523545033,-515.2696364067798,1.0,8.300066666666667e-05,0.00024900199999999996,0.00024900199999999996,6.331283,87.17399,,,51000,302.7
0.21988931,,,10.1678505,10.310116,0.00499458758911206,-0.67233783,1000.0,3.3183711919225103,-517.6369931215155,1.0,8.266733333333335e-05,0.000248002,0.000248002,5.93841,87.20726,,,52000,303.6
0.21144423,,,9.637294,9.873631,0.00325653767956674,-0.71926713,1000.0,3.000223531833502,-516.7507043724685,1.0,8.2334e-05,0.00024700199999999996,0.00024700199999999996,5.880452,87.06377,,,53000,298.3
0.2034053,,,10.13093,10.38722,0.00325653767956674,-0.7777623,1000.0,2.620178408978917,-512.5980308941064,1.0,8.200066666666667e-05,0.000246002,0.000246002,6.574665,86.87494,,,54000,295.1
0.19576392,,,11.304228,11.546171,0.00325653767956674,-0.84075755,1000.0,2.4732085858050743,-516.8046668153962,1.0,8.166733333333334e-05,0.00024500199999999997,0.00024500199999999997,6.7304544,86.602554,,,55000,292.5
0.18853341,,,11.297943,11.517756,0.00325653767956674,-0.90581894,1000.0,2.327293855613137,-518.2446085866447,1.0,8.1334e-05,0.00024400199999999997,0.00024400199999999997,6.803192,86.23824,,,56000,288.0
0.18167846,,,10.734419,10.882403,0.00325653767956674,-0.96859676,1000.0,2.2268010330421655,-523.3489726691965,1.0,8.100066666666667e-05,0.00024300199999999997,0.00024300199999999997,6.814065,85.76721,,,57000,284.8
0.17518237,,,10.369802,10.494054,0.00011406862395654612,-1.0372458,1000.0,2.320629213480955,-532.2444389363382,1.0,8.066733333333334e-05,0.00024200199999999998,0.00024200199999999998,6.2815323,85.26732,,,58000,282.9
0.1690592,,,9.569749,9.669742,0.00011406862395654612,-1.1048491,1000.0,2.219012428170487,-535.1753126499852,1.0,8.0334e-05,0.00024100199999999995,0.00024100199999999995,6.4680123,84.703415,,,59000,276.8
0.16330197,,,9.757542,9.898909,0.00011406862395654612,-1.17886,1000.0,2.3677253163398255,-542.445152823675,1.0,8.000066666666667e-05,0.00024000199999999998,0.00024000199999999998,6.7716246,84.12271,,,60000,272.9
0.15781832,,,9.87719,10.019085,0.0,-1.2378328,1000.0,2.153393874852404,-538.6973012788212,1.0,7.966733333333334e-05,0.00023900199999999999,0.00023900199999999999,6.7813044,83.43768,,,61000,265.7
0.15255731,,,10.224351,10.30919,0.0,-1.3009775,1000.0,2.0235904453494964,-539.6616748062654,1.0,7.9334e-05,0.00023800199999999996,0.00023800199999999996,6.834094,82.726845,,,62000,256.9
0.14753857,,,9.877065,9.975446,0.0,-1.3594425,1000.0,1.9110031715166653,-540.7702894951324,1.0,7.900066666666666e-05,0.00023700199999999996,0.00023700199999999996,6.8777223,82.179756,,,63000,252.6
0.14276613,,,9.396702,9.471309,0.00015334237728600896,-1.412945,1000.0,1.7553735956666483,-539.3097551870084,1.0,7.866733333333333e-05,0.00023600199999999997,0.00023600199999999997,6.405755,81.53861,,,64000,242.4
0.13821086,,,7.8736243,7.9659095,0.00015334237728600896,-1.4621919,1000.0,1.6543081122261571,-538.6081496988563,1.0,7.833400000000001e-05,0.000235002,0.000235002,6.3747797,80.87331,,,65000,239.6
0.13387157,,,7.9823937,8.1237955,0.00015334237728600896,-1.5057206,1000.0,1.599398280827006,-540.9602190620633,1.0,7.800066666666667e-05,0.00023400199999999997,0.00023400199999999997,6.2697415,80.245895,,,66000,232.3
0.1297189,,,8.173921,8.352022,0.0004855950919865629,-1.5440434,1000.0,1.5644927795590773,-542.8564746722931,1.0,7.766733333333333e-05,0.00023300199999999998,0.00023300199999999998,6.0491796,79.692116,,,67000,230.1
0.12569441,,,8.039298,8.265593,0.0004855950919865629,-1.5746534,1000.0,1.6029622441188827,-543.8919454442596,1.0,7.7334e-05,0.00023200199999999998,0.00023200199999999998,6.3350163,79.25743,,,68000,224.1
0.121801056,,,8.004937,8.237841,0.0004855950919865629,-1.593385,1000.0,1.5676998619467706,-543.3164984135401,1.0,7.700066666666668e-05,0.000231002,0.000231002,6.5334563,78.847115,,,69000,227.1
0.11803589,,,7.1733513,7.5010147,0.0018804287322755503,-1.6236436,1000.0,1.3765986061588686,-540.6908499124254,1.0,7.666733333333334e-05,0.00023000199999999998,0.00023000199999999998,6.3989277,78.477936,,,70000,220.1
0.114478566,,,7.547908,7.870295,0.002514070687269031,-1.6587969,1000.0,1.3622498075572174,-545.2714861964544,1.0,7.6334e-05,0.000229002,0.000229002,6.510694,78.086685,,,71000,217.0
0.11118607,,,7.5370317,7.8869576,0.002514070687269031,-1.7004274,1000.0,1.3532242038309166,-545.3880155333576,1.0,7.600066666666667e-05,0.000228002,0.000228002,6.5380964,77.71057,,,72000,214.5
0.10814877,,,8.085561,8.416624,0.002514070687269031,-1.735995,1000.0,1.2637301856221972,-545.9378346016078,1.0,7.566733333333334e-05,0.00022700199999999997,0.00022700199999999997,6.615388,77.367714,,,73000,208.3
0.10539504,,,8.253253,8.570402,0.002360728309983022,-1.7719584,1000.0,1.261392347253504,-546.2993469095028,1.0,7.533400000000001e-05,0.000226002,0.000226002,6.7495627,77.00494,,,74000,199.7
0.102943555,,,8.359141,8.627242,0.002360728309983022,-1.8038027,1000.0,1.2017671697758605,-549.6547107725671,1.0,7.500066666666668e-05,0.000225002,0.000225002,6.6050196,76.71864,,,75000,189.6
0.10072671,,,8.165472,8.375728,0.002360728309983022,-1.830416,1000.0,1.0949781879599476,-548.8098022576521,1.0,7.466733333333333e-05,0.00022400199999999997,0.00022400199999999997,6.392871,76.429375,,,76000,190.3
0.098774,,,7.748999,7.9253554,0.0020284755952824684,-1.8516725,1000.0,0.8754373663927701,-544.4571497857473,1.0,7.433400000000001e-05,0.00022300199999999998,0.00022300199999999998,6.711975,76.186745,,,77000,167.3
0.09710555,,,7.5084443,7.6365232,0.0020284755952824684,-1.887105,1000.0,0.6149466958994325,-544.6134556816339,1.0,7.400066666666668e-05,0.00022200199999999998,0.00022200199999999998,6.6246653,75.88838,,,78000,159.2
0.09568624,,,7.2723947,7.3557525,0.0020284755952824684,-1.9219296,1000.0,0.5342331774907608,-547.3766855136233,1.0,7.366733333333333e-05,0.00022100199999999996,0.00022100199999999996,6.353069,75.66411,,,79000,143.9
0.09446998,,,7.883387,7.9087434,0.0006336419549934811,-1.9421301,1000.0,0.3654831316432664,-545.5598017424938,1.0,7.3334e-05,0.00022000199999999999,0.00022000199999999999,6.410052,75.3911,,,80000,125.1
0.09342674,,,7.8060966,7.800428,0.0,-1.9633169,1000.0,0.33731606025873334,-547.9052721652245,1.0,7.300066666666667e-05,0.000219002,0.000219002,6.502921,75.23497,,,81000,117.1
0.09250869,,,7.831006,7.7802916,0.0,-1.976654,1000.0,0.2728940549743991,-546.7034637661404,1.0,7.266733333333333e-05,0.00021800199999999996,0.00021800199999999996,6.410765,75.08447,,,82000,101.2
0.091588445,,,7.1970034,7.1334124,0.0,-1.9714798,1000.0,0.2365503964928879,-541.8817968500864,1.0,7.2334e-05,0.00021700199999999997,0.00021700199999999997,6.2908278,75.00173,,,83000,89.5
0.09067243,,,7.1735253,7.0991187,0.0,-1.973527,1000.0,0.32968337346509335,-555.436425545915,1.0,7.200066666666667e-05,0.000216002,0.000216002,6.06287,75.00012,,,84000,99.0
0.08966815,,,6.771868,6.7120996,0.0,-1.9718306,1000.0,0.3723857861302572,-554.8117968372069,1.0,7.166733333333332e-05,0.00021500199999999997,0.00021500199999999997,5.809807,74.99499,,,85000,95.3
0.08857296,,,6.957503,6.920076,0.0,-1.9699615,1000.0,0.3147004365181481,-549.8483558972812,1.0,7.1334e-05,0.00021400199999999997,0.00021400199999999997,6.0339875,74.99051,,,86000,75.4
0.08732678,,,7.3329,7.318269,0.0,-1.9642932,1000.0,0.44875903536535766,-558.4080672710531,1.0,7.100066666666667e-05,0.00021300199999999998,0.00021300199999999998,5.7587976,74.98018,,,87000,87.5
0.086018845,,,8.116892,8.075065,0.0,-1.9558318,1000.0,0.42477205487645797,-555.9835767399998,1.0,7.066733333333333e-05,0.00021200199999999995,0.00021200199999999995,5.694829,74.96782,,,88000,81.6
0.084662095,,,8.197746,8.192896,0.0,-1.9447994,1000.0,0.38071835289973044,-552.0979098055515,1.0,7.033400000000001e-05,0.000211002,0.000211002,5.6749115,74.94273,,,89000,74.9
0.0832079,,,7.69803,7.735551,0.0,-1.9444811,1000.0,0.38105596581587714,-551.844181563773,1.0,7.000066666666668e-05,0.00021000199999999999,0.00021000199999999999,5.527467,74.91453,,,90000,76.5
0.081663296,,,7.4253364,7.464471,0.0,-1.9386438,1000.0,0.3649088527796961,-546.2869317987165,1.0,6.966733333333333e-05,0.00020900199999999996,0.00020900199999999996,5.4103975,74.850746,,,91000,71.0
0.07999677,,,7.729888,7.8091087,0.0,-1.92329,1000.0,0.37974755894811596,-541.6843724115731,1.0,6.933400000000001e-05,0.000208002,0.000208002,5.483848,74.812454,,,92000,72.8
0.07823179,,,8.4519825,8.549127,0.0,-1.916022,1000.0,0.3947207686374717,-540.2761127309662,1.0,6.900066666666666e-05,0.00020700199999999997,0.00020700199999999997,5.485691,74.693245,,,93000,75.8
0.076313496,,,7.87927,8.00651,0.0,-1.8931847,1000.0,0.26624424289979365,-520.5799205622565,1.0,6.866733333333333e-05,0.000206002,0.000206002,5.524781,74.59629,,,94000,56.7
0.07431164,,,8.153587,8.263394,0.0,-1.8698094,1000.0,0.2160717290858921,-512.624852929205,1.0,6.833400000000001e-05,0.000205002,0.000205002,5.644374,74.44226,,,95000,55.0
0.072252885,,,7.68542,7.7605743,0.0,-1.8519971,1000.0,0.23461794467521274,-506.363937754142,1.0,6.800066666666667e-05,0.00020400199999999998,0.00020400199999999998,5.4475694,74.36906,,,96000,63.1
0.07020649,,,7.6759834,7.745929,0.0004520016684806705,-1.8349657,1000.0,0.1354722298440575,-496.2961471253435,1.0,6.766733333333334e-05,0.00020300199999999998,0.00020300199999999998,5.5109134,74.26035,,,97000,61.6
0.06809607,,,7.1797395,7.315264,0.0004520016684806705,-1.8020384,1000.0,0.1342121167667803,-484.8355904019563,1.0,6.7334e-05,0.000202002,0.000202002,5.418487,74.216286,,,98000,65.8
0.065885045,,,7.1470003,7.2768965,0.0004520016684806705,-1.7697151,1000.0,0.18321201181334007,-478.3926091285527,1.0,6.700066666666667e-05,0.00020100199999999998,0.00020100199999999998,5.3717194,74.16655,,,99000,82.7
0.06368165,,,7.13361,7.2544584,0.0004520016684806705,-1.7342432,1000.0,0.2796243512639462,-474.695477540679,1.0,6.666733333333334e-05,0.000200002,0.000200002,5.385411,74.129684,,,100000,98.8
0.061496936,,,7.0771194,7.215238,0.0004985666264058642,-1.7040821,1000.0,0.31018100087392775,-468.08833588223433,1.0,6.6334e-05,0.000199002,0.000199002,5.402972,74.07793,,,101000,110.2
0.059360992,,,6.835475,6.9747834,0.0004985666264058642,-1.6828877,1000.0,0.3327095420310755,-464.13232171072576,1.0,6.600066666666666e-05,0.00019800199999999997,0.00019800199999999997,5.331952,74.01523,,,102000,120.9
0.057335567,,,6.282737,6.4039564,0.0004985666264058642,-1.6641299,1000.0,0.32654244856273945,-457.00521879125455,1.0,6.566733333333334e-05,0.000197002,0.000197002,5.2393713,73.965546,,,103000,124.1
0.055395506,,,6.373805,6.4821396,0.0004985666264058642,-1.6510878,1000.0,0.4309854711223296,-458.36040364709424,1.0,6.533400000000001e-05,0.000196002,0.000196002,5.2820196,73.907135,,,104000,141.0
0.05355934,,,6.432434,6.5690093,0.0005172816293033174,-1.6466486,1000.0,0.4375102266736456,-453.94605213340793,1.0,6.500066666666666e-05,0.00019500199999999997,0.00019500199999999997,5.2405944,73.8666,,,105000,147.1
0.05186134,,,7.0332007,7.1743584,0.0005172816293033174,-1.6542717,1000.0,0.43269472935705,-453.5079202592507,1.0,6.466733333333333e-05,0.00019400199999999998,0.00019400199999999998,5.262012,73.79917,,,106000,145.7
0.050277304,,,7.1940613,7.3294973,6.527996082264686e-05,-1.6663729,1000.0,0.44767706962803766,-450.52500673396196,1.0,6.433400000000001e-05,0.00019300199999999998,0.00019300199999999998,5.3277926,73.7567,,,107000,141.2
0.04879948,,,7.181987,7.290293,6.527996082264686e-05,-1.6715367,1000.0,0.6548159863110978,-459.1481285204665,1.0,6.400066666666667e-05,0.00019200199999999996,0.00019200199999999996,5.4690247,73.651306,,,108000,153.4
0.0474573,,,6.940726,7.043664,6.527996082264686e-05,-1.6987365,1000.0,0.7214643311870338,-461.7295698653978,1.0,6.366733333333333e-05,0.00019100199999999998,0.00019100199999999998,5.447949,73.52744,,,109000,154.5
0.04623968,,,6.5239363,6.6436644,6.527996082264686e-05,-1.7231386,1000.0,1.0422395292475568,-472.51630849424316,1.0,6.3334e-05,0.000190002,0.000190002,5.3933496,73.4146,,,110000,163.3
0.045131046,,,6.8994317,6.9988494,1.8715002897453104e-05,-1.7560282,1000.0,1.4947229232179233,-492.1509821194989,1.0,6.300066666666667e-05,0.00018900199999999996,0.00018900199999999996,5.3393936,73.329056,,,111000,179.2
0.044156544,,,6.8848877,6.981201,1.8715002897453104e-05,-1.7838774,1000.0,2.114604801372615,-514.8138194098699,1.0,6.266733333333335e-05,0.00018800200000000002,0.00018800200000000002,5.37643,73.20587,,,112000,197.8
0.043313235,,,6.931347,7.0288095,0.0065097157050693286,-1.8219249,1000.0,2.8845592716581248,-540.0214346176198,1.0,6.2334e-05,0.000187002,0.000187002,5.702006,73.07906,,,113000,222.4
0.042601254,,,7.6317787,7.7202845,0.0158226439551906,-1.8622572,1000.0,3.8712505776629533,-563.6157195779288,1.0,6.200066666666666e-05,0.00018600199999999997,0.00018600199999999997,5.6622376,72.9331,,,114000,237.8
